side,cluster,cluster_name,OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,OID_,GEOID10_1,STATEFP1_1,COUNTYFP_1,TRACTCE1_1,POP2010,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC,MALES,FEMALES,AGE_UNDER5,AGE_5_17,AGE_18_21,AGE_22_29,AGE_30_39,AGE_40_49,AGE_50_64,AGE_65_UP,MED_AGE,MED_AGE_M,MED_AGE_F,POP_HH,POP_GQ_INS,POP_GQ_NON,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,GEOJOIN,TractOK,Geoid,Shape_Length,Shape_Area
South/Southwest,4,SW Chicago,25,17,31,840100,17031840100,8401,Census Tract 8401,G5020,S,335806,0,41.841868,-87.6392003,1281,17031840100,17,31,840100,2935,886,11,2,1815,1,159,61,371,1470,1465,152,459,172,424,389,412,632,295,37.1,34.7,38.5,2932,0,3,1035,2.83,130,123,234,278,24,56,712,3.45,1124,89,386,649,17031840100,840100,17031840100,8711.014211,3614681.047
South/Southwest,4,SW Chicago,26,17,31,301802,17031301802,3018.02,Census Tract 3018.02,G5020,S,345011,0,41.8451846,-87.7277592,376,17031301802,17,31,301802,3518,1549,76,51,13,0,1717,112,3403,1839,1679,358,782,237,556,545,428,426,186,27.5,28.2,26.6,3517,0,1,925,3.8,69,38,287,169,67,105,760,4.03,1059,134,306,619,17031301802,301802,17031301802,8173.64904,3713692.267
South/Southwest,4,SW Chicago,27,17,31,580502,17031580502,5805.02,Census Tract 5805.02,G5020,S,494416,0,41.8145617,-87.6993102,537,17031580502,17,31,580502,5349,2472,132,46,218,4,2310,167,4566,2776,2573,573,1270,351,721,839,664,637,294,27.5,27.2,27.8,5256,0,93,1395,3.77,118,84,506,218,74,156,1129,4.11,1622,227,587,808,17031580502,580502,17031580502,9528.915182,5321949.805
South/Southwest,4,SW Chicago,28,17,31,580501,17031580501,5805.01,Census Tract 5805.01,G5020,S,492117,0,41.819986,-87.6994962,536,17031580501,17,31,580501,5067,2491,89,47,128,0,2153,159,4360,2632,2435,469,1188,384,673,772,627,658,296,27.7,27.2,28.4,5059,0,8,1419,3.57,146,133,447,232,75,141,1079,4.09,1667,248,505,914,17031580501,580501,17031580501,9508.493095,5297190.754
South/Southwest,4,SW Chicago,29,17,31,830500,17031830500,8305,Census Tract 8305,G5020,S,3827804,285796,41.8291246,-87.7193198,1206,17031830500,17,31,830500,4660,3023,30,14,2,0,1488,103,4506,2396,2264,438,1101,312,599,796,569,607,238,28.3,28.3,28.4,4660,0,0,1116,4.18,56,39,441,251,58,95,988,4.25,1268,152,653,463,17031830500,830500,17031830500,28915.79479,44278807.64
South/Southwest,4,SW Chicago,30,17,31,840700,17031840700,8407,Census Tract 8407,G5020,S,541526,0,41.8529302,-87.6942665,1285,17031840700,17,31,840700,4249,1707,281,79,43,3,1975,161,3687,2327,1922,428,1013,275,640,712,491,498,192,27.2,28,26,4112,0,137,1170,3.51,120,63,315,165,84,143,868,3.91,1401,231,290,880,17031840700,840700,17031840700,12247.08281,5829039.58
South/Southwest,4,SW Chicago,31,17,31,841300,17031841300,8413,Census Tract 8413,G5020,S,1341584,68766,41.8439774,-87.6842025,1290,17031841300,17,31,841300,4463,2383,113,41,37,1,1723,165,3732,2284,2179,374,864,301,699,741,555,630,299,29.9,30.8,28.7,4455,0,8,1503,2.96,239,147,336,240,69,140,982,3.66,1752,249,440,1063,17031841300,841300,17031841300,17305.65254,15181153.12
South/Southwest,4,SW Chicago,32,17,31,301702,17031301702,3017.02,Census Tract 3017.02,G5020,S,330989,0,41.8388062,-87.7195244,374,17031301702,17,31,301702,4045,2113,15,86,7,3,1708,113,3936,2084,1961,453,965,274,559,668,471,474,181,26.7,26.6,26.8,4045,0,0,1011,4,63,38,388,195,61,103,875,4.18,1141,130,389,622,17031301702,301702,17031301702,7998.075975,3562793.418
South/Southwest,4,SW Chicago,33,17,31,301801,17031301801,3018.01,Census Tract 3018.01,G5020,S,694638,0,41.8416617,-87.7350492,375,17031301801,17,31,301801,4005,1789,53,55,12,0,2009,87,3887,2067,1938,377,988,252,491,671,497,512,217,28.1,28.2,27.9,4001,0,4,1032,3.88,54,47,379,206,60,105,884,4.06,1158,126,405,627,17031301801,301801,17031301801,11947.26698,7477068.446
South/Southwest,4,SW Chicago,34,17,31,300800,17031300800,3008,Census Tract 3008,G5020,S,325846,0,41.8481108,-87.7075818,368,17031300800,17,31,300800,4610,1756,117,59,4,0,2543,131,4416,2439,2171,515,1160,309,623,744,528,503,228,26.2,26.1,26.2,4610,0,0,1193,3.86,92,56,344,209,73,179,971,4.21,1410,217,333,860,17031300800,300800,17031300800,7941.423945,3507428.078
